dataset_name,seed,k,alpha,beta,lambda_reg,epochs,rmse,mae,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,fidelity_at_2,fidelity_at_3,fidelity_at_5,fidelity_at_10,num_explanation_instances
ml1m,42,40,0.0,0.0,0.01,20,0.8653759391066587,0.6807829348931072,0.0508849557522123,0.0262942637593387,0.0540192296783026,0.0436010891763104,0.0459452237203998,0.0546004417786338,0.1247941426262259,0.1765076497718692,0.2685700247734785,0.4577435711622238,1000
ml1m,42,40,0.0,0.0001,0.01,20,0.8653759391066587,0.6807829348931072,0.0508849557522123,0.0262942637593387,0.0540192296783026,0.0436010891763104,0.0459452237203998,0.0546004417786338,0.1247941426262259,0.1765076497718692,0.2685700247734785,0.4577435711622238,1000
ml1m,42,40,0.001,0.0,0.01,20,0.8653759541144065,0.6807833830076048,0.0508849557522123,0.0262942637593387,0.0540192296783026,0.0436010891763104,0.0459452237203998,0.0546004417786338,0.1247942789271474,0.1765078145936131,0.26857023614645,0.4577438701689243,1000
ml1m,42,40,0.001,0.0001,0.01,20,0.8653759535650136,0.6807833813265326,0.0508849557522123,0.0262942637593387,0.0540192296783026,0.0436010891763104,0.0459452237203998,0.0546004417786338,0.1247942750118672,0.1765078136771917,0.2685702319145203,0.4577438658773899,1000
ml1m,42,40,0.005,0.0,0.01,20,0.8653759702715578,0.680785096171131,0.0508849557522123,0.0262942637593387,0.0540257604858459,0.0436010891763104,0.0459452237203998,0.0546053521299353,0.1247947835959494,0.1765084333792329,0.268571016728878,0.4577450596094131,1000
ml1m,42,40,0.005,0.0001,0.01,20,0.86537597129592,0.680785097596896,0.0508849557522123,0.0262942637593387,0.0540257604858459,0.0436010891763104,0.0459452237203998,0.0546053521299353,0.1247947823628783,0.1765084297284483,0.2685710141807794,0.4577450481057167,1000
ml1m,42,40,0.01,0.0,0.01,20,0.8653760310543028,0.6807872123185114,0.0508849557522123,0.0262942637593387,0.0540282899739893,0.0436010891763104,0.0459452237203998,0.054608210941657,0.1248199048303067,0.1765452612042427,0.268622840732336,0.457819087177515,1000
ml1m,42,40,0.01,0.0001,0.01,20,0.8653760306818179,0.6807872086315395,0.0508849557522123,0.0262942637593387,0.0540282899739893,0.0436010891763104,0.0459452237203998,0.0546077627736421,0.1248198987320065,0.1765452522039413,0.2686228306889534,0.4578190746307373,1000
ml1m,42,40,0.05,0.0,0.01,20,0.8653761353872291,0.6808017328088625,0.0508849557522123,0.0262942637593387,0.0540708951273382,0.0436521443158611,0.0460099881103855,0.0546840561948117,0.1248976669982075,0.1766552440673112,0.2687534370571375,0.4579610549807548,1000
ml1m,42,40,0.05,0.0001,0.01,20,0.8653761297013415,0.680801711198845,0.0508849557522123,0.0262942637593387,0.0540708951273382,0.0436521443158611,0.0460099881103855,0.0546840561948117,0.1248976738862693,0.1766552514508366,0.2687534430325031,0.4579610545933246,1000
ml1m,42,60,0.0,0.0,0.01,20,0.8631991918900863,0.6792976820686453,0.05285908781484,0.027112035270736,0.0568052898760613,0.0445711368277739,0.0474794988075578,0.0567980937801375,0.0970768671818077,0.1371080661341548,0.2084555568173527,0.357668945685029,1000
ml1m,42,60,0.0,0.0001,0.01,20,0.8631991918900863,0.6792976820686453,0.05285908781484003,0.02711203527073609,0.05680528987606138,0.04457113682777399,0.04747949880755788,0.056798093780137546,0.09707686718180776,0.1371080661341548,0.20845555681735278,0.35766894568502905,1000
ml1m,42,60,0.001,0.0,0.01,20,0.8631992558918867,0.6792983899468432,0.05285908781484003,0.02711203527073609,0.05680528987606138,0.04457113682777399,0.04747949880755788,0.056798093780137546,0.09707704466208815,0.13710832016170024,0.2084559518992901,0.3576695522516966,1000
ml1m,42,60,0.001,0.0001,0.01,20,0.863199256297811,0.6792983890430797,0.05285908781484003,0.02711203527073609,0.05680528987606138,0.04457113682777399,0.04747949880755788,0.056798093780137546,0.09707703618705273,0.13710831040143967,0.2084559409543872,0.35766954089701175,1000
ml1m,42,60,0.005,0.0,0.01,20,0.8631995137946579,0.6793011789192208,0.05292716133424098,0.027201179165189722,0.05688564960273387,0.04457113682777399,0.04747949880755788,0.056819653830115883,0.09707769095525146,0.1371092408671975,0.20845743621885776,0.35767192038893697,1000
ml1m,42,60,0.005,0.0001,0.01,20,0.8631995119180457,0.6793011740869624,0.05292716133424098,0.027201179165189722,0.05688564960273387,0.04457113682777399,0.04747949880755788,0.056819653830115883,0.09707768721878529,0.13710923737287523,0.20845743026584387,0.35767190772295,1000
ml1m,42,60,0.01,0.0,0.01,20,0.8631998101010139,0.6793045558509205,0.05292716133424098,0.027201179165189722,0.05689070857902059,0.04457113682777399,0.04747949880755788,0.05682347743323676,0.09710399159416556,0.13713922627270222,0.20849659629166126,0.3577148370295763,1000
ml1m,42,60,0.01,0.0001,0.01,20,0.8631998123727885,0.6793045528166003,0.05292716133424098,0.027201179165189722,0.05689070857902059,0.04457113682777399,0.04747949880755788,0.05682347743323676,0.09710398561134935,0.13713921903818846,0.20849659141898155,0.3577148376107216,1000
ml1m,42,60,0.05,0.0,0.01,20,0.8632016996836488,0.6793280011729821,0.05296119809394145,0.02721181565259612,0.056957933876198755,0.04465622872702518,0.04756337201940931,0.05691943486976495,0.09716501896083354,0.1372299480959773,0.20863623923808336,0.35793718886375425,1000
ml1m,42,60,0.05,0.0001,0.01,20,0.8632016957867579,0.6793279743693208,0.05296119809394145,0.02721181565259612,0.056957933876198755,0.04465622872702518,0.04756337201940931,0.05691943486976495,0.0971650065779686,0.13722993156313895,0.20863621782511474,0.3579371539503336,1000
